ci 0
     0x0 0x1 0x2 0x3 0x4 0x5 0x6 0x7 0x8 0x9 0xa 0xb 0xc 0xd 0xe 0xf
0x00 256 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128
0x10 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128
0x20 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128
0x30 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128
0x40 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128
0x50 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128
0x60 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128
0x70 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128
0x80 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128
0x90 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128
0xa0 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128
0xb0 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128
0xc0 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128
0xd0 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128
0xe0 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128
0xf0 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128
ci 1
     0x0 0x1 0x2 0x3 0x4 0x5 0x6 0x7 0x8 0x9 0xa 0xb 0xc 0xd 0xe 0xf
0x00 128 140 128 140 142 134 130 122 140 128 136 140 130 138 130 122
0x10 136 116 140 120 118 126 118 126 120 140 128 132 118 142 122 130
0x20 124 124 124 124 138 126 134 138 116 140 120 128 130 134 130 134
0x30 136 136 116 116 118 122 134 122 140 132 132 140 114 134 126 114
0x40 132 124 140 140 130 126 118 138 112 136 116 116 134 138 134 130
0x50 112 136 116 116 118 130 126 130 128 136 120 136 134 138 130 126
0x60 120 116 136 140 126 118 130 130 136 132 124 128 126 142 134 126
0x70 128 124 132 136 126 134 142 126 140 120 140 128 114 130 142 134
0x80 140 116 140 140 138 134 134 122 144 128 124 132 126 122 118 138
0x90 144 128 124 132 126 130 126 122 136 128 136 120 126 130 114 142
0xa0 136 124 120 132 134 134 122 130 128 124 132 120 118 134 126 118
0xb0 120 132 124 128 134 126 134 134 140 128 140 120 122 130 134 118
0xc0 112 132 136 124 126 126 122 138 132 136 120 140 114 122 122 130
0xd0 128 124 140 136 134 142 126 118 136 132 136 116 134 134 114 114
0xe0 116 132 132 116 122 126 118 122 116 132 136 136 130 142 130 126
0xf0 120 128 116 124 134 130 118 114 132 124 124 132 130 118 126 130
ci 2
     0x0 0x1 0x2 0x3 0x4 0x5 0x6 0x7 0x8 0x9 0xa 0xb 0xc 0xd 0xe 0xf
0x00 128 130 136 122 130 120 130 128 134 124 122 128 136 130 140 126
0x10 126 116 122 128 136 114 124 126 140 118 124 134 118 116 134 124
0x20 136 118 136 118 130 116 122 132 134 128 114 124 128 126 124 114
0x30 122 140 126 128 124 130 120 118 112 126 120 118 130 116 138 132
0x40 112 130 120 130 114 128 122 120 142 140 114 120 128 138 140 134
0x50 118 124 138 120 128 130 132 118 140 126 116 142 134 116 118 132
0x60 120 134 128 134 138 116 130 124 118 120 122 116 136 134 132 130
0x70 138 124 126 136 116 114 136 134 144 134 136 134 138 124 122 140
0x80 126 140 134 132 140 118 124 126 128 130 140 126 126 140 122 144
0x90 132 118 136 122 130 128 126 116 118 124 118 140 116 134 132 142
0xa0 130 124 122 132 120 126 136 134 124 130 120 126 130 116 126 136
0xb0 132 114 136 134 122 116 134 136 142 120 126 120 116 122 132 130
0xc0 126 140 118 140 132 134 140 126 120 130 132 134 126 140 114 112
0xd0 124 126 120 130 130 136 142 116 134 132 126 132 124 126 140 126
0xe0 122 132 138 140 128 126 128 126 132 114 136 142 122 124 134 120
0xf0 140 122 128 118 114 116 118 120 134 136 134 128 124 130 116 122
ci 3
     0x0 0x1 0x2 0x3 0x4 0x5 0x6 0x7 0x8 0x9 0xa 0xb 0xc 0xd 0xe 0xf
0x00 128 134 136 126 140 130 128 126 122 140 138 124 134 128 138 140
0x10 138 132 138 116 126 136 130 132 120 126 112 134 116 114 120 126
0x20 132 138 116 138 112 126 116 122 122 116 138 116 126 120 122 124
0x30 126 120 126 120 114 132 126 136 128 126 128 142 116 114 120 142
0x40 116 134 132 134 112 130 140 118 118 132 126 140 114 120 126 124
0x50 114 120 122 128 126 132 138 136 120 138 136 122 140 134 120 122
0x60 144 130 136 122 124 134 120 122 126 116 134 124 114 120 134 116
0x70 126 132 134 140 122 136 126 116 120 130 112 138 132 126 128 130
0x80 134 116 134 124 134 116 138 136 140 134 124 126 116 118 128 130
0x90 124 134 116 118 140 118 128 122 126 116 134 132 126 140 122 120
0xa0 126 116 126 140 142 140 138 120 120 114 128 130 120 130 132 126
0xb0 116 118 132 126 132 126 136 130 114 136 122 136 122 128 126 116
0xc0 130 140 122 124 122 132 134 128 128 134 136 134 128 142 132 114
0xd0 132 122 116 130 132 122 128 118 126 128 126 136 142 136 130 124
0xe0 138 124 130 140 114 140 134 128 124 130 124 138 132 122 120 142
0xf0 124 138 132 122 124 130 120 126 130 132 130 140 138 124 118 120
ci 4
     0x0 0x1 0x2 0x3 0x4 0x5 0x6 0x7 0x8 0x9 0xa 0xb 0xc 0xd 0xe 0xf
0x00 128 120 130 126 134 130 124 116 134 122 120 136 140 124 138 126
0x10 140 120 130 122 126 142 128 116 134 126 124 120 144 132 138 138
0x20 112 128 122 134 142 122 132 116 142 138 128 128 132 116 122 134
0x30 132 128 138 138 126 134 136 124 118 142 132 136 112 140 122 122
0x40 130 122 120 124 128 124 122 122 124 120 130 130 130 138 116 136
0x50 126 122 136 136 120 120 126 122 132 132 126 122 142 122 140 124
0x60 130 130 136 140 136 132 138 114 116 136 130 130 138 130 124 120
0x70 142 138 128 120 128 136 134 114 140 124 118 138 134 138 140 140
0x80 126 134 120 124 116 128 130 130 140 136 142 126 138 130 136 124
0x90 118 130 140 124 128 112 130 142 128 128 126 122 122 118 140 140
0xa0 126 126 128 116 124 136 138 114 132 120 134 118 130 122 120 132
0xb0 134 130 140 132 120 144 130 126 120 136 142 130 130 134 132 132
0xc0 140 132 138 118 130 126 116 124 118 138 140 140 124 124 126 114
0xd0 132 128 126 134 126 126 132 136 114 122 116 128 116 136 122 122
0xe0 140 140 122 134 122 134 116 116 126 122 124 140 132 116 134 130
0xf0 124 120 126 126 142 134 116 120 130 138 116 136 116 128 130 114
ci 5
     0x0 0x1 0x2 0x3 0x4 0x5 0x6 0x7 0x8 0x9 0xa 0xb 0xc 0xd 0xe 0xf
0x00 128 136 138 134 116 140 126 130 142 114 124 140 114 134 136 144
0x10 132 136 142 126 140 128 134 126 130 130 120 124 138 122 136 132
0x20 140 120 126 118 128 124 130 130 134 142 124 120 122 130 120 124
0x30 124 140 142 130 116 132 134 114 126 138 140 132 134 130 124 140
0x40 118 138 124 132 122 134 120 128 120 120 114 142 116 124 126 122
0x50 134 134 132 128 134 126 124 120 128 140 122 138 120 140 114 130
0x60 122 130 120 140 134 118 140 144 144 116 130 138 116 128 118 126
0x70 134 130 124 140 142 130 140 124 124 116 126 130 124 140 126 114
0x80 122 118 116 132 126 114 128 128 136 120 126 138 140 132 130 126
0x90 126 126 120 132 126 134 128 140 116 120 130 122 132 128 130 122
0xa0 118 126 136 124 122 122 132 136 136 132 118 118 140 128 122 122
0xb0 134 138 120 128 134 130 144 136 136 144 126 130 120 120 126 130
0xc0 116 124 122 134 128 136 134 122 142 138 128 120 130 126 124 140
0xd0 140 120 122 114 124 120 122 138 134 118 120 140 126 126 120 116
0xe0 136 140 118 118 140 128 138 130 126 134 120 132 122 130 124 128
0xf0 140 140 130 134 132 116 122 118 122 142 132 132 138 126 124 116
ci 6
     0x0 0x1 0x2 0x3 0x4 0x5 0x6 0x7 0x8 0x9 0xa 0xb 0xc 0xd 0xe 0xf
0x00 128 134 134 136 136 126 130 132 140 122 134 120 124 130 122 116
0x10 130 128 136 138 118 132 136 122 122 112 140 126 126 124 124 118
0x20 136 130 118 116 120 122 114 120 124 134 134 124 124 134 130 120
0x30 142 136 132 122 122 124 116 130 142 120 120 118 114 140 128 126
0x40 126 124 128 122 126 116 124 126 118 124 140 134 118 140 120 114
0x50 128 118 138 132 140 122 122 140 124 122 114 124 128 126 122 132
0x60 126 128 136 126 126 128 140 130 118 120 124 138 126 136 120 142
0x70 132 134 126 140 144 114 118 116 128 114 142 116 140 118 134 116
0x80 116 134 130 120 128 122 130 128 132 118 118 116 128 130 118 132
0x90 114 124 128 134 122 124 132 114 126 136 136 134 126 120 132 130
0xa0 128 118 126 112 116 122 142 128 136 118 114 132 116 138 138 116
0xb0 130 120 136 130 130 120 140 134 134 132 144 138 134 140 116 118
0xc0 126 120 136 134 114 140 136 134 130 140 128 134 126 128 120 118
0xd0 124 142 126 140 124 126 130 112 116 134 130 120 116 126 134 132
0xe0 138 120 132 126 126 132 124 126 126 132 116 126 130 136 140 134
0xf0 140 122 134 136 140 130 130 140 116 122 130 132 124 130 134 136
ci 7
     0x0 0x1 0x2 0x3 0x4 0x5 0x6 0x7 0x8 0x9 0xa 0xb 0xc 0xd 0xe 0xf
0x00 128 118 126 128 122 124 120 118 124 138 130 132 134 112 140 122
0x10 134 140 112 122 116 118 126 132 130 128 132 126 128 122 130 120
0x20 116 122 138 116 118 136 124 130 132 122 130 132 118 136 116 130
0x30 122 120 124 134 128 122 114 120 130 128 124 126 136 130 130 128
0x40 122 116 124 138 116 122 134 128 114 140 140 130 116 122 126 128
0x50 116 126 114 136 122 128 136 138 116 126 138 120 114 136 120 130
0x60 126 120 112 134 128 134 130 132 122 140 132 122 132 130 142 144
0x70 144 130 142 132 142 124 124 126 124 118 114 136 130 136 120 138
0x80 140 130 130 116 130 132 128 126 124 130 138 132 130 116 120 126
0x90 138 120 116 134 116 126 134 132 138 120 124 118 116 142 142 132
0xa0 140 122 130 116 122 116 120 118 136 126 118 136 118 120 124 122
0xb0 130 128 140 134 116 142 134 140 134 140 120 130 120 138 130 136
0xc0 130 124 140 138 136 126 138 116 134 120 120 134 116 114 126 136
0xd0 140 126 122 120 142 140 116 126 136 130 126 140 114 120 128 122
0xe0 122 124 124 122 136 134 114 124 122 140 132 138 128 126 130 132
0xf0 132 118 122 128 126 124 124 142 132 134 130 128 134 116 124 134
ci 8
     0x0 0x1 0x2 0x3 0x4 0x5 0x6 0x7 0x8 0x9 0xa 0xb 0xc 0xd 0xe 0xf
0x00 128 130 130 132 132 134 130 132 128 118 114 136 132 122 138 144
0x10 140 130 134 116 120 118 134 140 128 138 122 140 140 126 114 140
0x20 134 120 140 126 134 120 120 122 122 120 120 134 130 128 116 130
0x30 138 128 128 126 114 144 124 130 122 124 120 130 122 132 116 118
0x40 130 140 116 118 130 124 120 122 142 116 136 134 126 116 116 130
0x50 126 132 144 118 134 116 116 130 126 128 136 122 134 144 132 142
0x60 136 130 134 136 124 134 126 144 120 134 118 124 132 130 142 116
0x70 124 114 130 120 120 118 138 120 120 130 142 120 140 126 118 136
0x80 132 134 114 140 132 118 126 136 116 130 130 136 132 130 118 124
0x90 136 142 134 124 120 134 122 136 140 142 138 140 124 134 118 128
0xa0 126 120 128 130 130 124 128 114 130 128 140 130 126 124 140 130
0xb0 122 136 132 130 126 132 140 130 138 140 124 142 134 128 132 126
0xc0 130 140 128 122 118 128 120 130 134 116 124 122 122 136 140 138
0xd0 126 132 132 130 114 128 116 122 134 128 132 134 122 124 140 134
0xe0 116 118 142 128 132 118 130 132 124 122 134 132 116 130 138 136
0xf0 136 134 114 120 136 126 126 140 124 134 118 136 116 118 130 140
ci 9
     0x0 0x1 0x2 0x3 0x4 0x5 0x6 0x7 0x8 0x9 0xa 0xb 0xc 0xd 0xe 0xf
0x00 128 118 126 132 134 136 132 118 136 130 130 140 126 124 112 142
0x10 116 134 142 136 138 128 132 114 124 130 138 136 138 140 128 122
0x20 130 140 140 134 124 122 126 140 114 136 136 126 140 126 114 116
0x30 130 120 136 118 124 126 138 116 114 132 124 134 116 122 142 140
0x40 130 132 144 130 116 122 114 136 126 116 128 118 112 130 122 124
0x50 122 128 132 130 116 134 126 120 134 128 140 126 120 118 134 124
0x60 116 138 126 116 138 124 140 126 128 130 126 128 134 140 116 138
0x70 128 122 134 120 126 124 124 130 124 130 126 140 130 116 132 126
0x80 136 130 130 140 122 120 124 138 136 126 126 116 130 132 120 138
0x90 128 126 134 140 138 132 136 122 144 138 122 124 138 136 116 122
0xa0 134 132 124 122 116 126 138 116 134 120 136 122 124 114 118 124
0xb0 130 132 132 142 136 142 138 136 130 120 120 134 120 138 118 128
0xc0 134 124 128 134 140 126 126 128 130 132 128 114 128 134 142 116
0xd0 130 116 136 114 136 126 134 132 142 124 144 134 132 126 134 136
0xe0 124 118 130 140 126 140 132 130 128 142 138 120 122 116 124 134
0xf0 116 122 134 116 134 136 136 130 120 130 134 120 122 120 128 134
ci 10
     0x0 0x1 0x2 0x3 0x4 0x5 0x6 0x7 0x8 0x9 0xa 0xb 0xc 0xd 0xe 0xf
0x00 128 124 118 130 142 134 136 120 122 142 116 120 136 120 118 126
0x10 126 130 128 140 140 132 122 130 132 128 130 134 130 130 140 124
0x20 118 118 136 136 120 132 126 130 124 132 122 130 118 122 136 132
0x30 128 136 134 134 130 126 116 128 122 122 116 140 132 120 122 126
0x40 134 130 116 128 120 120 122 130 116 136 126 114 134 126 132 116
0x50 140 136 134 138 142 118 116 124 134 122 132 112 136 120 130 130
0x60 140 140 134 134 114 118 112 124 142 134 124 132 124 136 126 130
0x70 134 118 116 124 140 120 134 114 140 132 134 134 122 142 128 132
0x80 122 122 140 132 128 116 134 138 120 136 118 126 126 130 112 132
0x90 120 128 118 126 142 130 120 132 122 130 124 132 128 132 126 122
0xa0 128 124 134 138 130 114 124 124 122 118 116 120 116 116 114 130
0xb0 130 134 124 112 116 116 138 130 136 140 126 114 130 130 116 140
0xc0 132 132 142 118 126 138 124 120 126 142 140 116 120 116 138 134
0xd0 130 130 120 136 124 144 142 122 128 128 130 130 122 126 120 132
0xe0 138 134 120 140 128 120 130 138 120 132 130 118 118 142 116 140
0xf0 116 128 118 130 122 122 136 128 126 122 116 128 140 124 126 118
ci 11
     0x0 0x1 0x2 0x3 0x4 0x5 0x6 0x7 0x8 0x9 0xa 0xb 0xc 0xd 0xe 0xf
0x00 128 128 130 130 124 132 118 134 122 130 124 132 126 134 136 120
0x10 122 122 140 132 126 126 136 136 132 124 118 134 136 136 130 130
0x20 130 122 136 128 130 122 120 120 116 116 122 122 124 116 130 130
0x30 116 124 122 122 140 124 114 130 118 134 140 116 126 126 132 132
0x40 126 130 120 116 126 138 136 116 116 136 134 114 124 144 126 114
0x50 140 136 126 138 124 136 126 130 130 142 140 136 130 134 124 120
0x60 128 124 134 122 140 136 122 118 126 138 140 144 130 134 120 124
0x70 134 122 132 136 114 126 136 140 132 120 122 126 128 116 142 122
0x80 122 130 128 120 134 118 140 132 120 128 118 126 132 124 130 114
0x90 120 136 118 126 140 140 138 122 126 142 116 140 122 114 112 136
0xa0 140 124 126 126 132 116 126 118 122 122 132 132 130 138 116 116
0xb0 114 138 140 124 130 114 116 116 136 128 138 138 128 136 122 130
0xc0 132 128 130 118 132 120 122 126 134 122 132 128 134 122 140 128
0xd0 134 130 116 112 118 130 124 128 128 132 142 130 136 116 126 114
0xe0 134 138 120 116 138 126 124 128 120 132 122 142 124 128 142 114
0xf0 128 116 130 118 132 112 118 122 138 134 140 120 118 130 120 140
ci 12
     0x0 0x1 0x2 0x3 0x4 0x5 0x6 0x7 0x8 0x9 0xa 0xb 0xc 0xd 0xe 0xf
0x00 128 122 132 138 138 128 126 136 122 116 134 132 140 122 136 130
0x10 128 130 128 142 126 116 126 120 122 140 130 136 120 118 128 138
0x20 130 132 138 128 136 126 136 122 120 130 136 126 134 124 126 136
0x30 130 132 118 124 140 138 120 114 112 138 124 130 122 136 142 128
0x40 124 134 124 114 130 120 122 116 126 120 126 124 116 130 124 134
0x50 140 134 128 134 134 116 130 132 118 128 122 120 120 126 116 118
0x60 134 120 138 128 128 118 116 134 132 142 120 126 126 116 130 140
0x70 126 136 134 132 124 130 116 118 140 142 132 130 130 136 138 116
0x80 126 136 142 116 124 130 124 134 136 130 120 134 118 132 134 144
0x90 114 132 126 140 116 138 128 138 116 134 128 118 126 140 122 132
0xa0 116 126 136 134 134 132 114 140 122 140 142 140 124 122 136 122
0xb0 128 138 128 142 134 124 126 112 118 120 134 116 132 138 140 118
0xc0 130 124 126 132 124 130 144 122 116 126 120 134 134 132 130 124
0xd0 142 120 142 132 124 138 132 134 128 122 120 134 126 132 126 128
0xe0 136 130 136 118 142 140 126 136 134 136 126 140 116 130 140 126
0xf0 116 134 136 126 126 124 130 140 122 116 134 140 132 114 112 114
ci 13
     0x0 0x1 0x2 0x3 0x4 0x5 0x6 0x7 0x8 0x9 0xa 0xb 0xc 0xd 0xe 0xf
0x00 128 114 128 126 140 118 136 134 126 136 138 136 122 140 130 144
0x10 128 138 120 126 128 122 124 138 114 132 142 116 114 132 130 128
0x20 126 132 138 132 118 116 126 136 116 138 116 134 132 114 128 130
0x30 114 120 126 120 126 132 126 128 124 130 132 118 128 134 140 134
0x40 140 114 120 130 124 130 132 118 122 128 122 124 114 120 126 136
0x50 120 126 140 134 132 114 140 134 130 120 130 116 134 132 122 140
0x60 130 140 130 136 126 120 138 120 144 130 124 130 140 126 116 114
0x70 130 132 130 128 138 116 126 140 140 134 128 126 116 134 124 122
0x80 122 120 126 144 138 136 130 124 128 134 136 122 144 118 124 118
0x90 130 128 134 136 134 124 118 136 132 122 132 134 136 118 116 134
0xa0 132 134 116 130 136 122 140 130 138 140 134 140 134 136 134 132
0xb0 128 122 120 126 120 138 140 114 130 140 142 140 130 116 138 120
0xc0 134 120 134 116 122 116 126 124 124 126 136 142 136 130 120 126
0xd0 138 132 122 128 138 116 134 116 132 126 120 118 124 118 140 130
0xe0 128 134 116 126 120 134 128 138 142 140 134 144 134 140 114 124
0xf0 136 126 132 126 124 114 132 134 122 120 130 124 126 124 130 132
ci 14
     0x0 0x1 0x2 0x3 0x4 0x5 0x6 0x7 0x8 0x9 0xa 0xb 0xc 0xd 0xe 0xf
0x00 128 136 140 136 124 132 136 116 140 112 140 140 136 132 128 120
0x10 130 118 118 126 130 126 118 118 134 134 118 114 126 142 118 130
0x20 122 142 122 122 114 126 122 130 130 114 134 122 122 138 142 130
0x30 136 144 128 116 116 124 132 136 112 116 116 124 132 128 120 120
